id,Band,Min price,State,City,Date,Location,Time,Link
1,Country Lips with The Easy Leaves,10,Washington,Seattle,June 14,Neumos,7:00 PM to 9:00 PM,http://www.neumos.com
2,Front Country,15,California,Sacramento,June 14,Harlows Night Club,8:00 PM to 10:00 PM,http://www.ticketfly.com/event/1468222-front-country-sacramento/
3,Country Jam,198,Colorado,Grand Junction,June 15,Country Jam USA Campground,3:30 AM to 5:30 AM,https://www.gigmasters.com/search/country-band-grand-junction-co
4,Headwaters Country Music Festival,381,Montana,Three Forks,June 15,The Bridge at Three Forks,1:00 PM to 3:00 PM,http://www.headwaterscountryjam.com/
5,Sonic Bloom Music Festival,225,Colorado,Rye,June 15,Hummingbird Ranch,7:00 PM to 9:00 PM,http://sonicbloomfestival.com/
6,Gretchen Wilson,76,Nevada,Las Vegas,June 15,Stoney's Rockin Country,9:00 PM to 11:00 PM,http://lasvegas.eventful.com/events/gretchen-wilson-/E0-001-101720472-7
7,Maddie & Tae,79,California,Santa Rosa,June 16,Sonoma County Fairgrounds,1:29 AM to 3:29 AM,http://www.pressdemocrat.com/specialsections/6979477-181/guide-to-major-northern-california?artslide=0
8,Waymore's Outlaws,20,Texas,Helotes,June 16,John T. Floore Country Store,9:00 PM to 11:00 PM,https://www.eventsfy.com/event/waymores-outlaws157732/helotes/john-t-floore-country-store62044/2017-06-16
9,John Baumann,15,Texas,New Braunfels,June 16,Freiheit Country Store,8:00 PM to 10:00 PM,http://www.ticketfly.com/event/1452524-john-baumann-new-braunfels/
10,Marah,20,DC,Washington,June 16,Hill Country DC,9:30 PM to 11:30 PM,http://www.ticketfly.com/event/1469757-marah-washington/
11,Country Summer,79,California,Santa Rosa,June 17,Sonoma County Fairgrounds,1:30 PM to 3:30 PM,http://countrysummer.com/
12,Boots & Brews Country Music Festival,50,California,Santa Clarita,June 17,Central Park,2:00 PM to 4:00 PM,https://www.eventbrite.com/e/boots-brews-country-music-festival-santa-clarita-june-17th-tickets-33535572801
13,Chrisette Michele,110,Illinois,Country Club Hills,June 17,Country Club Hills Theatre,7:00 PM to 9:00 PM,https://concertful.com/event/288793
14,Marah,34,New York,New York,June 17,Hill Country Barbecue Market,9:30 PM to 11:30 PM,http://newyorkcity.eventful.com/events/marah-/E0-001-102061417-3
15,Blackberry Smoke (18+),33,Texas,Helotes,June 17,John T. Floore Country Store,8:30 PM to 10:30 PM,https://blackberrysmoke.eventticketscenter.com/blackberry-smoke-helotes-tickets/173309/e?ppcsrc=BZD1&utm_source=bing&utm_medium=cpc&utm_campaign=A000%20Blackberry%20Smoke%20-%20US&utm_term=%2Bblackberry%20%2Bsmoke%20%2Bfloore&utm_content=170617%20John%20T%20Floore%20Country%20Store%20-%20(28629321)
16,Vanessa LeGrand,5,Nevada,Las Vegas,June 17,Stoney's Rockin Country,10:00 PM to 12:00 AM,http://www.ticketfly.com/event/1472926-vanessa-legrand-las-vegas/
17,Country USA Music Festival,90,Wisconsin,Oshkosh,June 20,Country USA Fairgrounds,3:30 AM to 5:30 AM  ,http://countryusaoshkosh.com/
18,Big Ticket Festival 2017,39,Michigan,Gaylord,June 21,Otsego County Fairgrounds,4:00 PM to 6:00 PM,http://bigticketfestival.com/
19,Country Fest,369,Wisconsin,Cadott,June 22,Country Fest,3:30 AM to 5:30 AM  ,http://www.countryfest.com/about-fest
20,Kicker Country Stampede,219,Kansas,Manhattan,June 22,Tuttle Creek State Park,3:30 AM to 5:30 AM  ,https://www.travelks.com/event/kicker-country-stampede/16540/
21,Kingsfest Music Festival,54,Virginia,Doswell,June 22,Kingswood Amphitheatre,4:00 PM to 6:00 PM  ,http://www.kingsfestival.com/
22,Kelsie May,234,Nevada,Las Vegas,June 23,Stoney's Rockin Country,9:00 PM to 11:00 PM,http://www.ticketfly.com/event/1494064-kelsie-may-las-vegas/
23,Back in Black AC/DC Tribute Band,10,Texas,New Braunfels,June 23,Freiheit Country Store,9:00 PM to 11:00 PM,http://www.ticketfly.com/event/1453097-back-in-black-ac-dc-tribute-new-braunfels/
24,Folk Soul Revival,12,DC,Washington,June 23,Hill Country DC,9:30 PM to 11:30 PM,http://www.ticketfly.com/event/1442539-folk-soul-revival-washington/
25,Boney James,110,Illinois,Country Club Hills,June 24,Country Club Hills Theatre,7:00 PM to 9:00 PM,http://www.americantowns.com/il/countryclubhills/events/boney-james-2017-06-24-tm
26,Thunderheads,5,Wisconsin,Brookfield,June 24,Gandy Dancer Saloon,7:00 PM to 9:00 PM,http://www.ticketfly.com/event/1490009-thunderheads-danbury/
27,For King & Country with Jordan Feliz,49,Ohio,Huber Heights,June 24,The Rose Music Center at The Heights,8:00 PM to 10:00 PM,https://www.evensi.us/for-king-amp-country-with-jordan-feliz-the-rose-music/202303743
28,Goldboot with Almost Normal,5,Nevada,Las Vegas,June 24,Fremont Country Club,7:30 PM to 9:30 PM,http://601fremont.ticketfly.com/event/1489800-goldboot-las-vegas
29,Casey Donahew Band,87,Texas,Helotes,June 24,John T. Floore Country Store,8:30 PM to 10:30 PM,http://www.ticketfly.com/event/1472995-casey-donahew-band-kyle-park-helotes/
30,A Day In The Country,10,Illinois,Chicago,June 25,The Hideout,2:00 PM to 4:00 PM,http://www.ticketfly.com/event/564005-day-in-country-chicago/
31,Flat Duo Jets with Daddy Long Legs,15,DC,Washington,June 27,Hill Country DC,8:30 PM to 10:30 PM,http://www.songkick.com/concerts/29226759-flat-duo-jets-at-hill-country-bbq-washington
32,Charlie Robison with Jason Allen,10,Texas,New Braunfels,June 29,Freiheit Country Store,8:00 PM to 10:00 PM,http://www.ticketfly.com/event/1459536-charlie-robison-new-braunfels/
33,Laser Country,5,Georgia,Young Harris,June 30,O. Wayne Rollins Planetarium,7:00 PM to 9:00 PM,http://eventful.com/youngharris/events/laser-country-/E0-001-100227346-8
34,Lucas Hoge with Jackson Michelson,5,Nevada,Las Vegas,June 30,Stoney's Rockin Country,9:00 PM to 11:00 PM,http://www.ticketfly.com/event/1482275-lucas-hoge-jackson-michelson-las-vegas/
35,Tejas Brothers,72,Texas,Helotes,June 30,John T. Floore Country Store,9:00 PM to 11:00 PM,http://www.ticketfly.com/event/1457814-tejas-brothers-helotes/
36,Show-Me Summer Country,60,Missouri,Columbia,June 30,The Blue Note,9:00 PM to 11:00 PM,http://www.songkick.com/concerts/29533769-flat-duo-jets-at-hill-country-bbq-new-york
37,Flat Duo Jets with Daddy Long Legs,15,New York,New York,June 30,Hill Country Barbecue Market,10:00 PM to 12:00 AM,http://www.thebluenote.com/
